Title,Date
"Crush à Altura","16/09/2019"
"The I-Land: Minissérie: Admirável mundo novo","14/09/2019"
"Privacidade Hackeada","10/09/2019"
"Better Than Us: Temporada 1: Episódio 3","10/09/2019"
"Better Than Us: Temporada 1: Episódio 2","10/09/2019"
"Better Than Us: Temporada 1: Episódio 1","10/09/2019"
"Sex Education: Temporada 1: Episódio 8","09/09/2019"
"Sex Education: Temporada 1: Episódio 7","09/09/2019"
"Sex Education: Temporada 1: Episódio 6","08/09/2019"
"Sex Education: Temporada 1: Episódio 5","08/09/2019"
"Sex Education: Temporada 1: Episódio 4","08/09/2019"
"Sex Education: Temporada 1: Episódio 3","08/09/2019"
"MINDHUNTER: Temporada 1: Episódio 3","08/09/2019"
"The Alienist: Temporada 1: Malditos pensamentos","08/09/2019"
"Sex Education: Temporada 1: Episódio 2","08/09/2019"
"Sex Education: Temporada 1: Episódio 1","08/09/2019"
"Ash vs. Evil Dead: Temporada 1: Episódio 1","31/08/2019"
"Um sonho de liberdade","26/08/2019"
"30 dias de noite","25/08/2019"
"Blade Runner, o Caçador de Androides","25/08/2019"
"Van Helsing - o Caçador de Monstros","24/08/2019"
"The Titan","24/08/2019"
"Padre","24/08/2019"
"MINDHUNTER: Temporada 1: Episódio 2","20/08/2019"
"MINDHUNTER: Temporada 1: Episódio 1","20/08/2019"
"NOVA: Está Tudo nos Números","19/08/2019"
"NOVA: Black Hole Apocalypse","18/08/2019"
"O Trem de Hitler - A Besta de Aço","18/08/2019"
"A Vida pela Notícia","18/08/2019"
"Korengal","18/08/2019"
"The Alienist: Temporada 1: Sorriso prateado","18/08/2019"
"Whindersson Nunes: Adulto","18/08/2019"
"Seis Vezes Confusão","18/08/2019"
"The Alienist: Temporada 1: Uma parceria de sucesso","18/08/2019"
"Dark: Temporada 2: Fins e começos","15/08/2019"
"Dark: Temporada 2: Diabo Branco","15/08/2019"
"Dark: Temporada 2: Ciclo sem fim","13/08/2019"
"Dark: Temporada 2: Achados e perdidos","11/08/2019"
"Dark: Temporada 2: Os viajantes","11/08/2019"
"Dark: Temporada 2: Fantasmas","11/08/2019"
"Dark: Temporada 2: Matéria escura","11/08/2019"
"Dark: Temporada 2: Começos e fins","11/08/2019"
"Rick and Morty: Temporada 1: Cãortador de grama","11/08/2019"
"Sintonia: Temporada 1: Pegaram a Cacau","11/08/2019"
"Sintonia: Temporada 1: Mesma sintonia","11/08/2019"
"Sintonia: Temporada 1: Faz teu nome","11/08/2019"
"Sintonia: Temporada 1: O certo pelo certo","10/08/2019"
"Sintonia: Temporada 1: Segunda Chance","10/08/2019"
